OBJECTID,lattitude,longitude,lat&long
2681,23.80278163,90.36489364,"'23.80278163,90.36489364'"
2682,23.80278163,90.36669564,"'23.80278163,90.36669564'"
2683,23.80278163,90.36849764,"'23.80278163,90.36849764'"
2684,23.80278163,90.37029964,"'23.80278163,90.37029964'"
2685,23.80278163,90.37210164,"'23.80278163,90.37210164'"
2686,23.80278163,90.37390364,"'23.80278163,90.37390364'"
2687,23.80278163,90.37570564,"'23.80278163,90.37570564'"
2688,23.80278163,90.37750764,"'23.80278163,90.37750764'"
2689,23.80278163,90.37930964,"'23.80278163,90.37930964'"
2690,23.80278163,90.38111164,"'23.80278163,90.38111164'"
2691,23.80278163,90.38291364,"'23.80278163,90.38291364'"
2692,23.80278163,90.38471564,"'23.80278163,90.38471564'"
2693,23.80278163,90.38651764,"'23.80278163,90.38651764'"
2694,23.80278163,90.38831964,"'23.80278163,90.38831964'"
2695,23.80278163,90.39012164,"'23.80278163,90.39012164'"
2696,23.80278163,90.39192364,"'23.80278163,90.39192364'"
2697,23.80278163,90.39372564,"'23.80278163,90.39372564'"
2698,23.80278163,90.39552764,"'23.80278163,90.39552764'"
2699,23.80278163,90.39732964,"'23.80278163,90.39732964'"
2700,23.80278163,90.39913164,"'23.80278163,90.39913164'"
2701,23.80278163,90.40093364,"'23.80278163,90.40093364'"
2702,23.80278163,90.40273564,"'23.80278163,90.40273564'"
2703,23.80278163,90.40453764,"'23.80278163,90.40453764'"
2704,23.80278163,90.40633964,"'23.80278163,90.40633964'"
2705,23.80278163,90.40814164,"'23.80278163,90.40814164'"
2706,23.80278163,90.40994364,"'23.80278163,90.40994364'"
2707,23.80278163,90.41174564,"'23.80278163,90.41174564'"
2708,23.80278163,90.41354764,"'23.80278163,90.41354764'"
2709,23.80278163,90.41534964,"'23.80278163,90.41534964'"
2710,23.80278163,90.41715164,"'23.80278163,90.41715164'"
2711,23.80278163,90.41895364,"'23.80278163,90.41895364'"
2712,23.80278163,90.42075564,"'23.80278163,90.42075564'"
2713,23.80278163,90.42255764,"'23.80278163,90.42255764'"
2714,23.80458363,90.34326964,"'23.80458363,90.34326964'"
2715,23.80458363,90.34507164,"'23.80458363,90.34507164'"
2716,23.80458363,90.34687364,"'23.80458363,90.34687364'"
2717,23.80458363,90.34867564,"'23.80458363,90.34867564'"
2718,23.80458363,90.35047764,"'23.80458363,90.35047764'"
2719,23.80458363,90.35227964,"'23.80458363,90.35227964'"
2720,23.80458363,90.35408164,"'23.80458363,90.35408164'"
2721,23.80458363,90.35588364,"'23.80458363,90.35588364'"
2722,23.80458363,90.35768564,"'23.80458363,90.35768564'"
2723,23.80458363,90.35948764,"'23.80458363,90.35948764'"
2724,23.80458363,90.36128964,"'23.80458363,90.36128964'"
2725,23.80458363,90.36309164,"'23.80458363,90.36309164'"
2726,23.80458363,90.36489364,"'23.80458363,90.36489364'"
2727,23.80458363,90.36669564,"'23.80458363,90.36669564'"
2728,23.80458363,90.36849764,"'23.80458363,90.36849764'"
2729,23.80458363,90.37029964,"'23.80458363,90.37029964'"
2730,23.80458363,90.37210164,"'23.80458363,90.37210164'"
2731,23.80458363,90.37390364,"'23.80458363,90.37390364'"
2732,23.80458363,90.37570564,"'23.80458363,90.37570564'"
2733,23.80458363,90.37750764,"'23.80458363,90.37750764'"
2734,23.80458363,90.37930964,"'23.80458363,90.37930964'"
2735,23.80458363,90.38111164,"'23.80458363,90.38111164'"
2736,23.80458363,90.38291364,"'23.80458363,90.38291364'"
2737,23.80458363,90.38471564,"'23.80458363,90.38471564'"
2738,23.80458363,90.38651764,"'23.80458363,90.38651764'"
2739,23.80458363,90.38831964,"'23.80458363,90.38831964'"
2740,23.80458363,90.39012164,"'23.80458363,90.39012164'"
2741,23.80458363,90.39192364,"'23.80458363,90.39192364'"
2742,23.80458363,90.39372564,"'23.80458363,90.39372564'"
2743,23.80458363,90.39552764,"'23.80458363,90.39552764'"
2744,23.80458363,90.39732964,"'23.80458363,90.39732964'"
2745,23.80458363,90.39913164,"'23.80458363,90.39913164'"
2746,23.80458363,90.40093364,"'23.80458363,90.40093364'"
2747,23.80458363,90.40273564,"'23.80458363,90.40273564'"
2748,23.80458363,90.40453764,"'23.80458363,90.40453764'"
2749,23.80458363,90.40633964,"'23.80458363,90.40633964'"
2750,23.80458363,90.40814164,"'23.80458363,90.40814164'"
2751,23.80458363,90.40994364,"'23.80458363,90.40994364'"
2752,23.80458363,90.41174564,"'23.80458363,90.41174564'"
2753,23.80458363,90.41354764,"'23.80458363,90.41354764'"
